"runId";"test name";"dim";"algo";"running time (s)";"comparsions count"
"9";"diag";"1000";"NSGA2";"0,019626";"999000"
"10";"square";"1000";"my";"0,002643";"55405"
"10";"square";"1000";"ENLU";"0,01952";"209354"
"10";"square";"1000";"NSGA2";"0,025898";"999000"
"10";"parallel fronts";"1000";"my";"0,001215";"34938"
"10";"parallel fronts";"1000";"ENLU";"0,001918";"79357"
"10";"parallel fronts";"1000";"NSGA2";"0,017889";"999000"
"10";"circle fronts";"1000";"my";"0,004478";"103994"
"10";"circle fronts";"1000";"ENLU";"0,05399";"449434"
"10";"circle fronts";"1000";"NSGA2";"0,023012";"999000"
"10";"stripe";"1000";"my";"0,005958";"78496"
"10";"stripe";"1000";"ENLU";"0,034347";"218239"
"10";"stripe";"1000";"NSGA2";"0,021275";"999000"
"10";"diag";"1000";"my";"0,000366";"16973"
"10";"diag";"1000";"ENLU";"0,000405";"999"
"10";"diag";"1000";"NSGA2";"0,017664";"999000"
"11";"square";"1000";"my";"0,002042";"57722"
"11";"square";"1000";"ENLU";"0,011415";"189545"
"11";"square";"1000";"NSGA2";"0,023993";"999000"
"11";"parallel fronts";"1000";"my";"0,001271";"35309"
"11";"parallel fronts";"1000";"ENLU";"0,001849";"72851"
"11";"parallel fronts";"1000";"NSGA2";"0,017703";"999000"
"11";"circle fronts";"1000";"my";"0,004857";"112764"
"11";"circle fronts";"1000";"ENLU";"0,061086";"483561"
"11";"circle fronts";"1000";"NSGA2";"0,022803";"999000"
"11";"stripe";"1000";"my";"0,003634";"89749"
"11";"stripe";"1000";"ENLU";"0,03819";"242832"
"11";"stripe";"1000";"NSGA2";"0,021611";"999000"
"11";"diag";"1000";"my";"0,000346";"16973"
"11";"diag";"1000";"ENLU";"0,00036";"999"
"11";"diag";"1000";"NSGA2";"0,017187";"999000"
"12";"square";"1000";"my";"0,00192";"56224"
"12";"square";"1000";"ENLU";"0,012589";"194450"
"12";"square";"1000";"NSGA2";"0,022087";"999000"
"12";"parallel fronts";"1000";"my";"0,001016";"35437"
"12";"parallel fronts";"1000";"ENLU";"0,001894";"75091"
"12";"parallel fronts";"1000";"NSGA2";"0,017663";"999000"
"12";"circle fronts";"1000";"my";"0,004115";"97528"
"12";"circle fronts";"1000";"ENLU";"0,052076";"419956"
"12";"circle fronts";"1000";"NSGA2";"0,022553";"999000"
"12";"stripe";"1000";"my";"0,003387";"83354"
"12";"stripe";"1000";"ENLU";"0,034906";"231038"
"12";"stripe";"1000";"NSGA2";"0,026571";"999000"
"12";"diag";"1000";"my";"0,00053";"16973"
"12";"diag";"1000";"ENLU";"0,000375";"999"
"12";"diag";"1000";"NSGA2";"0,016895";"999000"
"13";"square";"1000";"my";"0,002238";"57137"
"13";"square";"1000";"ENLU";"0,011367";"191027"
"13";"square";"1000";"NSGA2";"0,022258";"999000"
"13";"parallel fronts";"1000";"my";"0,000941";"34856"
"13";"parallel fronts";"1000";"ENLU";"0,001738";"73244"
"13";"parallel fronts";"1000";"NSGA2";"0,018001";"999000"
"13";"circle fronts";"1000";"my";"0,003782";"100971"
"13";"circle fronts";"1000";"ENLU";"0,052251";"411404"
"13";"circle fronts";"1000";"NSGA2";"0,022135";"999000"
"13";"stripe";"1000";"my";"0,002828";"75537"
"13";"stripe";"1000";"ENLU";"0,031775";"216510"
"13";"stripe";"1000";"NSGA2";"0,023312";"999000"
"13";"diag";"1000";"my";"0,000496";"16973"
"13";"diag";"1000";"ENLU";"0,000397";"999"
"13";"diag";"1000";"NSGA2";"0,021359";"999000"
"14";"square";"1000";"my";"0,002563";"57488"
"14";"square";"1000";"ENLU";"0,012038";"196026"
"14";"square";"1000";"NSGA2";"0,022199";"999000"
"14";"parallel fronts";"1000";"my";"0,001176";"34906"
"14";"parallel fronts";"1000";"ENLU";"0,001896";"73440"
"14";"parallel fronts";"1000";"NSGA2";"0,01798";"999000"
"14";"circle fronts";"1000";"my";"0,006228";"104521"
"14";"circle fronts";"1000";"ENLU";"0,055694";"458476"
"14";"circle fronts";"1000";"NSGA2";"0,02333";"999000"
"14";"stripe";"1000";"my";"0,003356";"85706"
"14";"stripe";"1000";"ENLU";"0,037405";"241177"
"14";"stripe";"1000";"NSGA2";"0,022693";"999000"
"14";"diag";"1000";"my";"0,000358";"16973"
"14";"diag";"1000";"ENLU";"0,000364";"999"
"14";"diag";"1000";"NSGA2";"0,017246";"999000"
"15";"square";"1000";"my";"0,002327";"57411"
"15";"square";"1000";"ENLU";"0,012242";"202035"
"15";"square";"1000";"NSGA2";"0,021883";"999000"
"15";"parallel fronts";"1000";"my";"0,001126";"33672"
"15";"parallel fronts";"1000";"ENLU";"0,001519";"70380"
"15";"parallel fronts";"1000";"NSGA2";"0,020597";"999000"
"15";"circle fronts";"1000";"my";"0,004501";"105329"
"15";"circle fronts";"1000";"ENLU";"0,058208";"471291"
"15";"circle fronts";"1000";"NSGA2";"0,022386";"999000"
"15";"stripe";"1000";"my";"0,006106";"94427"
"15";"stripe";"1000";"ENLU";"0,04042";"254594"
"15";"stripe";"1000";"NSGA2";"0,022961";"999000"
"15";"diag";"1000";"my";"0,000356";"16973"
"15";"diag";"1000";"ENLU";"0,000355";"999"
"15";"diag";"1000";"NSGA2";"0,017601";"999000"
